Indicator_id,IndicatorName,category
WBIN-0114,"Net bilateral aid flows from DAC donors, Australia (current US$)",AidEffectiveness
WBIN-0115,"Technical cooperation grants (BoP, current US$)",AidEffectiveness
WBIN-0116,"Grants, excluding technical cooperation (BoP, current US$)",AidEffectiveness
WBIN-0117,Urban population (% of total population),CimateChange
WBIN-0118,Urban population,CimateChange
WBIN-0119,Urban population growth (annual %),CimateChange
WBIN-0120,"Population, total",CimateChange
WBIN-0121,Population growth (annual %),CimateChange
WBIN-0122,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),CimateChange
WBIN-0123,"Prevalence of underweight, weight for age (% of children under 5)",CimateChange
WBIN-0124,"Community health workers (per 1,000 people)",CimateChange
WBIN-0125,"Mortality rate, under-5 (per 1,000 live births)",CimateChange
WBIN-0126,"Primary completion rate, total (% of relevant age group)",CimateChange
WBIN-0127,"School enrollment, primary and secondary (gross), gender parity index (GPI)",CimateChange
WBIN-0128,"Agriculture, forestry, and fishing, value added (% of GDP)",CimateChange
WBIN-0129,CPIA public sector management and institutions cluster average (1=low to 6=high),CimateChange
WBIN-0130,Ease of doing business rank (1=most business-friendly regulations),CimateChange
WBIN-0131,Terrestrial and marine protected areas (% of total territorial area),CimateChange
WBIN-0132,Marine protected areas (% of territorial waters),CimateChange
WBIN-0133,Terrestrial protected areas (% of total land area),CimateChange
WBIN-0134,"Annual freshwater withdrawals, total (% of internal resources)",CimateChange
WBIN-0135,"Annual freshwater withdrawals, total (billion cubic meters)",CimateChange
WBIN-0136,Population in urban agglomerations of more than 1 million (% of total population),CimateChange
WBIN-0137,Population living in areas where elevation is below 5 meters (% of total population),CimateChange
WBIN-0138,Urban population living in areas where elevation is below 5 meters (% of total population),CimateChange
WBIN-0139,Rural population living in areas where elevation is below 5 meters (% of total population),CimateChange
WBIN-0140,"Droughts, floods, extreme temperatures (% of population, average 1990-2009)",CimateChange
WBIN-0141,GHG net emissions/removals by LUCF (Mt of CO2 equivalent),CimateChange
WBIN-0142,Disaster risk reduction progress score (1-5 scale; 5=best),CimateChange
WBIN-0143,SF6 gas emissions (thousand metric tons of CO2 equivalent),CimateChange
WBIN-0144,PFC gas emissions (thousand metric tons of CO2 equivalent),CimateChange
WBIN-0145,Nitrous oxide emissions (% change from 1990),CimateChange
WBIN-0146,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),CimateChange
WBIN-0147,Methane emissions (% change from 1990),CimateChange
WBIN-0148,Methane emissions (kt of CO2 equivalent),CimateChange
WBIN-0149,HFC gas emissions (thousand metric tons of CO2 equivalent),CimateChange
WBIN-0150,Total greenhouse gas emissions (% change from 1990),CimateChange
WBIN-0151,Total greenhouse gas emissions (kt of CO2 equivalent),CimateChange
WBIN-0152,Other greenhouse gas emissions (% change from 1990),CimateChange
WBIN-0153,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",CimateChange
WBIN-0154,CO2 emissions from solid fuel consumption (% of total),CimateChange
WBIN-0155,CO2 emissions from solid fuel consumption (kt),CimateChange
WBIN-0156,CO2 emissions (kg per 2017 PPP $ of GDP),CimateChange
WBIN-0157,CO2 emissions (kg per PPP $ of GDP),CimateChange
WBIN-0158,CO2 emissions (metric tons per capita),CimateChange
WBIN-0159,CO2 emissions from liquid fuel consumption (% of total),CimateChange
WBIN-0160,CO2 emissions from liquid fuel consumption (kt),CimateChange
WBIN-0161,CO2 emissions (kt),CimateChange
WBIN-0162,CO2 emissions (kg per 2015 US$ of GDP),CimateChange
WBIN-0163,CO2 emissions from gaseous fuel consumption (% of total),CimateChange
WBIN-0164,CO2 emissions from gaseous fuel consumption (kt),CimateChange
WBIN-0165,CO2 intensity (kg per kg of oil equivalent energy use),CimateChange
WBIN-0166,Energy use (kg of oil equivalent per capita),CimateChange
WBIN-0167,Electric power consumption (kWh per capita),CimateChange
WBIN-0168,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",CimateChange
WBIN-0169,Renewable energy consumption (% of total final energy consumption),CimateChange
WBIN-0170,"Electricity production from renewable sources, excluding hydroelectric (% of total)",CimateChange
WBIN-0171,"Electricity production from renewable sources, excluding hydroelectric (kWh)",CimateChange
WBIN-0172,Renewable electricity output (% of total electricity output),CimateChange
WBIN-0173,Electricity production from oil sources (% of total),CimateChange
WBIN-0174,Electricity production from nuclear sources (% of total),CimateChange
WBIN-0175,Electricity production from natural gas sources (% of total),CimateChange
WBIN-0176,Electricity production from hydroelectric sources (% of total),CimateChange
WBIN-0177,Electricity production from coal sources (% of total),CimateChange
WBIN-0178,Access to electricity (% of population),CimateChange
WBIN-0179,"Foreign direct investment, net inflows (% of GDP)",CimateChange
WBIN-0180,Cereal yield (kg per hectare),CimateChange
WBIN-0181,Average precipitation in depth (mm per year),CimateChange
WBIN-0182,Agricultural irrigated land (% of total agricultural land),CimateChange
WBIN-0183,Forest area (% of land area),CimateChange
WBIN-0184,Forest area (sq. km),CimateChange
WBIN-0185,Land area where elevation is below 5 meters (% of total land area),CimateChange
WBIN-0186,Urban land area where elevation is below 5 meters (% of total land area),CimateChange
WBIN-0187,Urban land area where elevation is below 5 meters (sq. km),CimateChange
WBIN-0188,Rural land area where elevation is below 5 meters (% of total land area),CimateChange
WBIN-0189,Rural land area where elevation is below 5 meters (sq. km),CimateChange
WBIN-0190,Arable land (% of land area),CimateChange
WBIN-0191,Agricultural land (% of land area),CimateChange
WBIN-0192,Agricultural land (sq. km),CimateChange
WBIN-0193,"PPP conversion factor, private consumption (LCU per international $)",EconomyAndGrowth
WBIN-0194,Price level ratio of PPP conversion factor (GDP) to market exchange rate,EconomyAndGrowth
WBIN-0195,"PPP conversion factor, GDP (LCU per international $)",EconomyAndGrowth
WBIN-0196,DEC alternative conversion factor (LCU per US$),EconomyAndGrowth
WBIN-0197,Terms of trade adjustment (constant LCU),EconomyAndGrowth
WBIN-0198,Net secondary income (Net current transfers from abroad) (constant LCU),EconomyAndGrowth
WBIN-0199,Net secondary income (Net current transfers from abroad) (current LCU),EconomyAndGrowth
WBIN-0200,Net secondary income (Net current transfers from abroad) (current US$),EconomyAndGrowth
WBIN-0201,Taxes less subsidies on products (constant LCU),EconomyAndGrowth
WBIN-0202,Taxes less subsidies on products (current LCU),EconomyAndGrowth
WBIN-0203,Taxes less subsidies on products (current US$),EconomyAndGrowth
WBIN-0204,Net primary income (Net income from abroad) (constant LCU),EconomyAndGrowth
WBIN-0205,Net primary income (Net income from abroad) (current LCU),EconomyAndGrowth
WBIN-0206,Net primary income (Net income from abroad) (current US$),EconomyAndGrowth
WBIN-0207,Gross savings (% of GDP),EconomyAndGrowth
WBIN-0208,Gross savings (% of GNI),EconomyAndGrowth
WBIN-0209,Gross savings (current LCU),EconomyAndGrowth
WBIN-0210,Gross savings (current US$),EconomyAndGrowth
WBIN-0211,"GNI per capita, PPP (constant 2017 international $)",EconomyAndGrowth
WBIN-0212,"GNI per capita, PPP (current international $)",EconomyAndGrowth
WBIN-0213,GNI per capita (constant LCU),EconomyAndGrowth
WBIN-0214,GNI per capita growth (annual %),EconomyAndGrowth
WBIN-0215,GNI per capita (constant 2015 US$),EconomyAndGrowth
WBIN-0216,GNI per capita (current LCU),EconomyAndGrowth
WBIN-0217,GNI per capita (current US$),EconomyAndGrowth
WBIN-0218,"GNI, PPP (constant 2017 international $)",EconomyAndGrowth
WBIN-0219,"GNI, PPP (current international $)",EconomyAndGrowth
WBIN-0220,GNI (constant LCU),EconomyAndGrowth
WBIN-0221,GNI growth (annual %),EconomyAndGrowth
WBIN-0222,GNI (constant 2015 US$),EconomyAndGrowth
WBIN-0223,GNI: linked series (current LCU),EconomyAndGrowth
WBIN-0224,GNI (current LCU),EconomyAndGrowth
WBIN-0225,GNI (current US$),EconomyAndGrowth
WBIN-0226,"GNI, Atlas method (current US$)",EconomyAndGrowth
WBIN-0227,Gross domestic income (constant LCU),EconomyAndGrowth
WBIN-0228,Gross domestic savings (% of GDP),EconomyAndGrowth
WBIN-0229,Gross domestic savings (current LCU),EconomyAndGrowth
WBIN-0230,Gross domestic savings (current US$),EconomyAndGrowth
WBIN-0231,"GDP per capita, PPP (constant 2017 international $)",EconomyAndGrowth
WBIN-0232,"GDP per capita, PPP (current international $)",EconomyAndGrowth
WBIN-0233,GDP per capita (constant LCU),EconomyAndGrowth
WBIN-0234,GDP per capita growth (annual %),EconomyAndGrowth
WBIN-0235,GDP per capita (constant 2015 US$),EconomyAndGrowth
WBIN-0236,GDP per capita (current LCU),EconomyAndGrowth
WBIN-0237,GDP per capita (current US$),EconomyAndGrowth
WBIN-0238,"GDP, PPP (constant 2017 international $)",EconomyAndGrowth
WBIN-0239,"GDP, PPP (current international $)",EconomyAndGrowth
WBIN-0240,GDP (constant LCU),EconomyAndGrowth
WBIN-0241,GDP growth (annual %),EconomyAndGrowth
WBIN-0242,GDP (constant 2015 US$),EconomyAndGrowth
WBIN-0243,GDP: linked series (current LCU),EconomyAndGrowth
WBIN-0244,GDP (current LCU),EconomyAndGrowth
WBIN-0245,GDP (current US$),EconomyAndGrowth
WBIN-0246,Gross value added at basic prices (GVA) (constant LCU),EconomyAndGrowth
WBIN-0247,Gross value added at basic prices (GVA) (constant 2015 US$),EconomyAndGrowth
WBIN-0248,Gross value added at basic prices (GVA) (current LCU),EconomyAndGrowth
WBIN-0249,Gross value added at basic prices (GVA) (current US$),EconomyAndGrowth
WBIN-0250,Discrepancy in expenditure estimate of GDP (constant LCU),EconomyAndGrowth
WBIN-0251,Discrepancy in expenditure estimate of GDP (current LCU),EconomyAndGrowth
WBIN-0252,GDP deflator (base year varies by country),EconomyAndGrowth
WBIN-0253,"Inflation, GDP deflator (annual %)",EconomyAndGrowth
WBIN-0254,Exports as a capacity to import (constant LCU),EconomyAndGrowth
WBIN-0255,"Adjusted net savings, excluding particulate emission damage (% of GNI)",EconomyAndGrowth
WBIN-0256,"Adjusted net savings, excluding particulate emission damage (current US$)",EconomyAndGrowth
WBIN-0257,"Adjusted net savings, including particulate emission damage (% of GNI)",EconomyAndGrowth
WBIN-0258,"Adjusted net savings, including particulate emission damage (current US$)",EconomyAndGrowth
WBIN-0259,Adjusted net national income per capita (annual % growth),EconomyAndGrowth
WBIN-0260,Adjusted net national income per capita (constant 2015 US$),EconomyAndGrowth
WBIN-0261,Adjusted net national income per capita (current US$),EconomyAndGrowth
WBIN-0262,Adjusted net national income (annual % growth),EconomyAndGrowth
WBIN-0263,Adjusted net national income (constant 2015 US$),EconomyAndGrowth
WBIN-0264,Adjusted net national income (current US$),EconomyAndGrowth
WBIN-0265,Adjusted savings: net national savings (% of GNI),EconomyAndGrowth
WBIN-0266,Adjusted savings: net national savings (current US$),EconomyAndGrowth
WBIN-0267,Adjusted savings: gross savings (% of GNI),EconomyAndGrowth
WBIN-0268,Adjusted savings: natural resources depletion (% of GNI),EconomyAndGrowth
WBIN-0269,Adjusted savings: particulate emission damage (% of GNI),EconomyAndGrowth
WBIN-0270,Adjusted savings: particulate emission damage (current US$),EconomyAndGrowth
WBIN-0271,Adjusted savings: energy depletion (% of GNI),EconomyAndGrowth
WBIN-0272,Adjusted savings: energy depletion (current US$),EconomyAndGrowth
WBIN-0273,Adjusted savings: mineral depletion (% of GNI),EconomyAndGrowth
WBIN-0274,Adjusted savings: mineral depletion (current US$),EconomyAndGrowth
WBIN-0275,Adjusted savings: consumption of fixed capital (% of GNI),EconomyAndGrowth
WBIN-0276,Adjusted savings: consumption of fixed capital (current US$),EconomyAndGrowth
WBIN-0277,Adjusted savings: net forest depletion (% of GNI),EconomyAndGrowth
WBIN-0278,Adjusted savings: net forest depletion (current US$),EconomyAndGrowth
WBIN-0279,Adjusted savings: carbon dioxide damage (% of GNI),EconomyAndGrowth
WBIN-0280,Adjusted savings: carbon dioxide damage (current US$),EconomyAndGrowth
WBIN-0281,Adjusted savings: education expenditure (% of GNI),EconomyAndGrowth
WBIN-0282,Adjusted savings: education expenditure (current US$),EconomyAndGrowth
WBIN-0283,"Services, value added (% of GDP)",EconomyAndGrowth
WBIN-0284,"Services, value added (constant LCU)",EconomyAndGrowth
WBIN-0285,"Services, value added (annual % growth)",EconomyAndGrowth
WBIN-0286,"Services, value added (constant 2015 US$)",EconomyAndGrowth
WBIN-0287,"Services, value added (current LCU)",EconomyAndGrowth
WBIN-0288,"Services, value added (current US$)",EconomyAndGrowth
WBIN-0289,"Services, value added per worker (constant 2015 US$)",EconomyAndGrowth
WBIN-0290,Textiles and clothing (% of value added in manufacturing),EconomyAndGrowth
WBIN-0291,Medium and high-tech manufacturing value added (% manufacturing value added),EconomyAndGrowth
WBIN-0292,Other manufacturing (% of value added in manufacturing),EconomyAndGrowth
WBIN-0293,Machinery and transport equipment (% of value added in manufacturing),EconomyAndGrowth
WBIN-0294,"Food, beverages and tobacco (% of value added in manufacturing)",EconomyAndGrowth
WBIN-0295,Chemicals (% of value added in manufacturing),EconomyAndGrowth
WBIN-0296,"Industry (including construction), value added (% of GDP)",EconomyAndGrowth
WBIN-0297,"Industry (including construction), value added (constant LCU)",EconomyAndGrowth
WBIN-0298,"Industry (including construction), value added (annual % growth)",EconomyAndGrowth
WBIN-0299,"Industry (including construction), value added (constant 2015 US$)",EconomyAndGrowth
WBIN-0300,"Industry (including construction), value added (current LCU)",EconomyAndGrowth
WBIN-0301,"Industry (including construction), value added (current US$)",EconomyAndGrowth
WBIN-0302,"Manufacturing, value added (% of GDP)",EconomyAndGrowth
WBIN-0303,"Manufacturing, value added (constant LCU)",EconomyAndGrowth
WBIN-0304,"Manufacturing, value added (annual % growth)",EconomyAndGrowth
WBIN-0305,"Manufacturing, value added (constant 2015 US$)",EconomyAndGrowth
WBIN-0306,"Manufacturing, value added (current LCU)",EconomyAndGrowth
WBIN-0307,"Manufacturing, value added (current US$)",EconomyAndGrowth
WBIN-0308,"Industry (including construction), value added per worker (constant 2015 US$)",EconomyAndGrowth
WBIN-0309,Financial intermediary services indirectly Measured (FISIM) (constant LCU),EconomyAndGrowth
WBIN-0310,Financial intermediary services indirectly Measured (FISIM) (current LCU),EconomyAndGrowth
WBIN-0311,"Agriculture, forestry, and fishing, value added (% of GDP)",EconomyAndGrowth
WBIN-0312,"Agriculture, forestry, and fishing, value added (constant LCU)",EconomyAndGrowth
WBIN-0313,"Agriculture, forestry, and fishing, value added (annual % growth)",EconomyAndGrowth
WBIN-0314,"Agriculture, forestry, and fishing, value added (constant 2015 US$)",EconomyAndGrowth
WBIN-0315,"Agriculture, forestry, and fishing, value added (current LCU)",EconomyAndGrowth
WBIN-0316,"Agriculture, forestry, and fishing, value added (current US$)",EconomyAndGrowth
WBIN-0317,"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",EconomyAndGrowth
WBIN-0318,Trade (% of GDP),EconomyAndGrowth
WBIN-0319,External balance on goods and services (% of GDP),EconomyAndGrowth
WBIN-0320,External balance on goods and services (constant LCU),EconomyAndGrowth
WBIN-0321,External balance on goods and services (current LCU),EconomyAndGrowth
WBIN-0322,External balance on goods and services (current US$),EconomyAndGrowth
WBIN-0323,Imports of goods and services (% of GDP),EconomyAndGrowth
WBIN-0324,Imports of goods and services (constant LCU),EconomyAndGrowth
WBIN-0325,Imports of goods and services (annual % growth),EconomyAndGrowth
WBIN-0326,Imports of goods and services (constant 2015 US$),EconomyAndGrowth
WBIN-0327,Imports of goods and services (current LCU),EconomyAndGrowth
WBIN-0328,Imports of goods and services (current US$),EconomyAndGrowth
WBIN-0329,Gross capital formation (% of GDP),EconomyAndGrowth
WBIN-0330,Gross capital formation (constant LCU),EconomyAndGrowth
WBIN-0331,Gross capital formation (annual % growth),EconomyAndGrowth
WBIN-0332,Gross capital formation (constant 2015 US$),EconomyAndGrowth
WBIN-0333,Gross capital formation (current LCU),EconomyAndGrowth
WBIN-0334,Gross capital formation (current US$),EconomyAndGrowth
WBIN-0335,Changes in inventories (constant LCU),EconomyAndGrowth
WBIN-0336,Changes in inventories (current LCU),EconomyAndGrowth
WBIN-0337,Changes in inventories (current US$),EconomyAndGrowth
WBIN-0338,Gross fixed capital formation (% of GDP),EconomyAndGrowth
WBIN-0339,Gross fixed capital formation (constant LCU),EconomyAndGrowth
WBIN-0340,Gross fixed capital formation (annual % growth),EconomyAndGrowth
WBIN-0341,Gross fixed capital formation (constant 2015 US$),EconomyAndGrowth
WBIN-0342,Gross fixed capital formation (current LCU),EconomyAndGrowth
WBIN-0343,Gross fixed capital formation (current US$),EconomyAndGrowth
WBIN-0344,"Gross fixed capital formation, private sector (% of GDP)",EconomyAndGrowth
WBIN-0345,"Gross fixed capital formation, private sector (current LCU)",EconomyAndGrowth
WBIN-0346,Exports of goods and services (% of GDP),EconomyAndGrowth
WBIN-0347,Exports of goods and services (constant LCU),EconomyAndGrowth
WBIN-0348,Exports of goods and services (annual % growth),EconomyAndGrowth
WBIN-0349,Exports of goods and services (constant 2015 US$),EconomyAndGrowth
WBIN-0350,Exports of goods and services (current LCU),EconomyAndGrowth
WBIN-0351,Exports of goods and services (current US$),EconomyAndGrowth
WBIN-0352,Gross national expenditure (% of GDP),EconomyAndGrowth
WBIN-0353,Gross national expenditure (constant LCU),EconomyAndGrowth
WBIN-0354,Gross national expenditure (constant 2015 US$),EconomyAndGrowth
WBIN-0355,Gross national expenditure (current LCU),EconomyAndGrowth
WBIN-0356,Gross national expenditure (current US$),EconomyAndGrowth
WBIN-0357,Gross national expenditure deflator (base year varies by country),EconomyAndGrowth
WBIN-0358,Final consumption expenditure (% of GDP),EconomyAndGrowth
WBIN-0359,Final consumption expenditure (constant LCU),EconomyAndGrowth
WBIN-0360,Final consumption expenditure (annual % growth),EconomyAndGrowth
WBIN-0361,Final consumption expenditure (constant 2015 US$),EconomyAndGrowth
WBIN-0362,Final consumption expenditure (current LCU),EconomyAndGrowth
WBIN-0363,Final consumption expenditure (current US$),EconomyAndGrowth
WBIN-0364,Households and NPISHs final consumption expenditure (% of GDP),EconomyAndGrowth
WBIN-0365,"Households and NPISHs Final consumption expenditure, PPP (constant 2017 international $)",EconomyAndGrowth
WBIN-0366,"Households and NPISHs Final consumption expenditure, PPP (current international $)",EconomyAndGrowth
WBIN-0367,Households and NPISHs Final consumption expenditure per capita growth (annual %),EconomyAndGrowth
WBIN-0368,Households and NPISHs Final consumption expenditure per capita (constant 2015 US$),EconomyAndGrowth
WBIN-0369,Households and NPISHs Final consumption expenditure (constant LCU),EconomyAndGrowth
WBIN-0370,Households and NPISHs Final consumption expenditure (annual % growth),EconomyAndGrowth
